origen_lat,origen_lon,destino_lat,destino_lon,departure_time,duracion_normal_seg,duracion_trafico_seg,congestion_ratio
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T09:00:00Z,824.0,645.0,0.7827669902912622
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T10:00:00Z,824.0,664.0,0.8058252427184466
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T11:00:00Z,824.0,752.0,0.912621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T12:00:00Z,824.0,1087.0,1.3191747572815533
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T13:00:00Z,824.0,1299.0,1.5764563106796117
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T14:00:00Z,824.0,1180.0,1.4320388349514563
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T15:00:00Z,824.0,1196.0,1.4514563106796117
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T16:00:00Z,824.0,1098.0,1.3325242718446602
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T17:00:00Z,824.0,1028.0,1.2475728155339805
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T18:00:00Z,824.0,972.0,1.1796116504854368
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T19:00:00Z,824.0,1026.0,1.2451456310679612
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T20:00:00Z,824.0,1065.0,1.2924757281553398
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T21:00:00Z,824.0,1030.0,1.25
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T22:00:00Z,824.0,1092.0,1.325242718446602
9.9358,-84.0558,9.9567,-84.1132,2026-08-20T23:00:00Z,824.0,1245.0,1.5109223300970873
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T00:00:00Z,824.0,1031.0,1.2512135922330097
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T01:00:00Z,824.0,837.0,1.0157766990291262
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T02:00:00Z,824.0,813.0,0.9866504854368932
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T03:00:00Z,824.0,791.0,0.9599514563106796
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T04:00:00Z,824.0,776.0,0.941747572815534
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T05:00:00Z,824.0,717.0,0.8701456310679612
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T06:00:00Z,824.0,691.0,0.8385922330097088
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T07:00:00Z,824.0,666.0,0.808252427184466
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T08:00:00Z,824.0,628.0,0.7621359223300971
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T09:00:00Z,824.0,641.0,0.7779126213592233
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T10:00:00Z,824.0,674.0,0.8179611650485437
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T11:00:00Z,824.0,741.0,0.8992718446601942
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T12:00:00Z,824.0,887.0,1.0764563106796117
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T13:00:00Z,824.0,977.0,1.1856796116504855
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T14:00:00Z,824.0,970.0,1.1771844660194175
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T15:00:00Z,824.0,1005.0,1.2196601941747574
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T16:00:00Z,824.0,970.0,1.1771844660194175
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T17:00:00Z,824.0,1001.0,1.2148058252427185
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T18:00:00Z,824.0,1021.0,1.2390776699029127
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T19:00:00Z,824.0,1054.0,1.279126213592233
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T20:00:00Z,824.0,1069.0,1.2973300970873787
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T21:00:00Z,824.0,1060.0,1.2864077669902914
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T22:00:00Z,824.0,1089.0,1.3216019417475728
9.9358,-84.0558,9.9567,-84.1132,2026-08-21T23:00:00Z,824.0,1172.0,1.4223300970873787
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T00:00:00Z,824.0,967.0,1.1735436893203883
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T01:00:00Z,824.0,817.0,0.991504854368932
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T02:00:00Z,824.0,803.0,0.9745145631067961
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T03:00:00Z,824.0,797.0,0.9672330097087378
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T04:00:00Z,824.0,765.0,0.9283980582524272
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T05:00:00Z,824.0,737.0,0.8944174757281553
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T06:00:00Z,824.0,713.0,0.8652912621359223
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T07:00:00Z,824.0,685.0,0.8313106796116505
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T08:00:00Z,824.0,662.0,0.8033980582524272
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T09:00:00Z,824.0,637.0,0.7730582524271845
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T10:00:00Z,824.0,657.0,0.7973300970873787
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T11:00:00Z,824.0,702.0,0.8519417475728155
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T12:00:00Z,824.0,733.0,0.8895631067961165
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T13:00:00Z,824.0,724.0,0.8786407766990292
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T14:00:00Z,824.0,765.0,0.9283980582524272
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T15:00:00Z,824.0,833.0,1.0109223300970873
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T16:00:00Z,824.0,848.0,1.029126213592233
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T17:00:00Z,824.0,867.0,1.0521844660194175
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T18:00:00Z,824.0,1030.0,1.25
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T19:00:00Z,824.0,1024.0,1.2427184466019416
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T20:00:00Z,824.0,1063.0,1.2900485436893203
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T21:00:00Z,824.0,943.0,1.1444174757281553
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T22:00:00Z,824.0,822.0,0.9975728155339806
9.9358,-84.0558,9.9567,-84.1132,2026-08-22T23:00:00Z,824.0,833.0,1.0109223300970873
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T00:00:00Z,824.0,848.0,1.029126213592233
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T01:00:00Z,824.0,793.0,0.962378640776699
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T02:00:00Z,824.0,775.0,0.9405339805825242
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T03:00:00Z,824.0,783.0,0.9502427184466019
