hora,dia_semana,ubicacion,origen_lat,origen_lon,destino_lat,destino_lon,duracion_normal_seg,duracion_trafico_seg,congestion_ratio,congestion_ajustada,nivel_congestion
8,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,649.0,0.787621359223301,1.0,Fluido
9,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,645.0,0.7827669902912622,1.0,Fluido
10,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,664.0,0.8058252427184466,1.0,Fluido
11,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,752.0,0.912621359223301,1.0,Fluido
12,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1087.0,1.3191747572815533,1.3191747572815533,Moderado
13,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1299.0,1.5764563106796117,1.5764563106796117,Moderado
14,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1180.0,1.4320388349514563,1.4320388349514563,Moderado
15,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1196.0,1.4514563106796117,1.4514563106796117,Moderado
16,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1098.0,1.3325242718446602,1.3325242718446602,Moderado
17,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1028.0,1.2475728155339805,1.2475728155339805,Leve
18,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,972.0,1.1796116504854368,1.1796116504854368,Leve
19,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1026.0,1.2451456310679612,1.2451456310679612,Leve
20,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1065.0,1.2924757281553398,1.2924757281553398,Leve
21,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1030.0,1.25,1.25,Leve
22,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1092.0,1.325242718446602,1.325242718446602,Moderado
23,3,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1245.0,1.5109223300970873,1.5109223300970873,Moderado
0,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1031.0,1.2512135922330097,1.2512135922330097,Leve
1,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,837.0,1.0157766990291262,1.0157766990291262,Leve
2,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,813.0,0.9866504854368932,1.0,Fluido
3,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,791.0,0.9599514563106796,1.0,Fluido
4,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,776.0,0.941747572815534,1.0,Fluido
5,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,717.0,0.8701456310679612,1.0,Fluido
6,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,691.0,0.8385922330097088,1.0,Fluido
7,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,666.0,0.808252427184466,1.0,Fluido
8,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,628.0,0.7621359223300971,1.0,Fluido
9,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,641.0,0.7779126213592233,1.0,Fluido
10,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,674.0,0.8179611650485437,1.0,Fluido
11,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,741.0,0.8992718446601942,1.0,Fluido
12,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,887.0,1.0764563106796117,1.0764563106796117,Leve
13,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,977.0,1.1856796116504855,1.1856796116504855,Leve
14,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,970.0,1.1771844660194175,1.1771844660194175,Leve
15,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1005.0,1.2196601941747574,1.2196601941747574,Leve
16,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,970.0,1.1771844660194175,1.1771844660194175,Leve
17,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1001.0,1.2148058252427185,1.2148058252427185,Leve
